,L foot,L leg,R foot,blood,R brain III,R leg,L hand,R hand,L brain I,L arm,R gonad,R brain I,R kidney,L brain III,L gonad,R arm,L kidney
L foot,1.0,0.8008564122,0.5834049537,0.0125875726,0.2707572443,0.5725835194,0.5382158527,0.392915354,0.2092066226,0.5487967872,0.2720914418,0.1701910962,0.3737275084,0.244980005,0.3203040997,0.4537321901,0.4148497416
L leg,0.8008564122,1.0,0.6402324916,0.0121154561,0.2414875968,0.5270363599,0.4903768613,0.4616112229,0.2270957897,0.5567904027,0.2540382554,0.1642538283,0.3255233383,0.2389540192,0.229508074,0.4754697391,0.4055155109
R foot,0.5834049537,0.6402324916,1.0,0.0106313517,0.3003227518,0.7820779742,0.4662772741,0.4289446427,0.2338776278,0.4919242286,0.2922627646,0.180895166,0.4272387177,0.2931046401,0.263469336,0.5095957307,0.3707465188
blood,0.0125875726,0.0121154561,0.0106313517,1.0,0.0255600826,0.0110347693,0.0113428555,0.0092871379,0.0248261205,0.0106451407,0.0099815412,0.027719472,0.0111565299,0.0298539178,0.0094142211,0.0126602032,0.0077830774
R brain III,0.2707572443,0.2414875968,0.3003227518,0.0255600826,1.0,0.3052653412,0.2923687087,0.2716824152,0.5289982356,0.2780965174,0.254407228,0.4225060723,0.2503058514,0.7172551083,0.2229566212,0.2940406455,0.2363384471
R leg,0.5725835194,0.5270363599,0.7820779742,0.0110347693,0.3052653412,1.0,0.4980404396,0.4087226109,0.2650581852,0.5244948318,0.3167022928,0.2056986773,0.4532484757,0.2990050638,0.2959251448,0.4656802503,0.3684412282
L hand,0.5382158527,0.4903768613,0.4662772741,0.0113428555,0.2923687087,0.4980404396,1.0,0.3894274607,0.1906651118,0.775530891,0.3462262864,0.1734669472,0.3580477129,0.2782672524,0.2891719873,0.5080122844,0.3049417999
R hand,0.392915354,0.4616112229,0.4289446427,0.0092871379,0.2716824152,0.4087226109,0.3894274607,1.0,0.1995110345,0.4297326337,0.1734870148,0.1955127871,0.3088098036,0.2913077138,0.2151269233,0.6433824663,0.2728284216
L brain I,0.2092066226,0.2270957897,0.2338776278,0.0248261205,0.5289982356,0.2650581852,0.1906651118,0.1995110345,1.0,0.1767232201,0.1467411162,0.5272002985,0.2521753906,0.4980209305,0.1056817098,0.2569167636,0.1989522956
L arm,0.5487967872,0.5567904027,0.4919242286,0.0106451407,0.2780965174,0.5244948318,0.775530891,0.4297326337,0.1767232201,1.0,0.2844500917,0.1878926625,0.3566438657,0.2753785759,0.2963566628,0.5318397254,0.3776267658
R gonad,0.2720914418,0.2540382554,0.2922627646,0.0099815412,0.254407228,0.3167022928,0.3462262864,0.1734870148,0.1467411162,0.2844500917,1.0,0.1206165652,0.3057475155,0.2033873829,0.3969093747,0.2671555632,0.3004747298
R brain I,0.1701910962,0.1642538283,0.180895166,0.027719472,0.4225060723,0.2056986773,0.1734669472,0.1955127871,0.5272002985,0.1878926625,0.1206165652,1.0,0.1552764638,0.460084247,0.133397248,0.2037243365,0.0956808121
R kidney,0.3737275084,0.3255233383,0.4272387177,0.0111565299,0.2503058514,0.4532484757,0.3580477129,0.3088098036,0.2521753906,0.3566438657,0.3057475155,0.1552764638,1.0,0.2164480906,0.3364714301,0.3799811204,0.50345228
L brain III,0.244980005,0.2389540192,0.2931046401,0.0298539178,0.7172551083,0.2990050638,0.2782672524,0.2913077138,0.4980209305,0.2753785759,0.2033873829,0.460084247,0.2164480906,1.0,0.1869227542,0.3005487907,0.2182100226
L gonad,0.3203040997,0.229508074,0.263469336,0.0094142211,0.2229566212,0.2959251448,0.2891719873,0.2151269233,0.1056817098,0.2963566628,0.3969093747,0.133397248,0.3364714301,0.1869227542,1.0,0.3285849295,0.3176121101
R arm,0.4537321901,0.4754697391,0.5095957307,0.0126602032,0.2940406455,0.4656802503,0.5080122844,0.6433824663,0.2569167636,0.5318397254,0.2671555632,0.2037243365,0.3799811204,0.3005487907,0.3285849295,1.0,0.293076107
L kidney,0.4148497416,0.4055155109,0.3707465188,0.0077830774,0.2363384471,0.3684412282,0.3049417999,0.2728284216,0.1989522956,0.3776267658,0.3004747298,0.0956808121,0.50345228,0.2182100226,0.3176121101,0.293076107,1.0
