loxcode, binary pedigree, fate path
1 12 13,0 0 0 1 1 0 1 0 1 ,0 
1,1 0 0 1 1 0 1 0 1 ,0 
13,0 1 1 1 0 1 1 0 0 ,0 
1 2 13,1 1 1 1 0 1 1 0 0 ,0 
-11 -2 -1 12 13,1 1 0 0 0 0 1 0 1 0 ,0 
1,0 1 0 1 1 0 1 0 1 0 ,0 
1,1 1 0 1 1 0 1 0 1 0 ,0 
1 2 3 8 9 10 -13 6 7,1 0 1 0 1 0 1 0 1 1 ,0 
-3 -4 1 2 13,0 1 1 0 0 0 0 0 1 1 ,0 
-3,1 1 1 0 0 0 0 0 1 1 ,0 
13,0 0 1 0 1 0 1 0 0 ,0 
1 2 3,1 0 1 0 1 0 1 0 0 ,0 
3 4 5 6 7 10 11 12 -1 8 9 -2 13,0 1 1 0 1 0 1 0 0 ,0 
-9 4 5 -2 -1 10 -13 -12 -11,1 1 1 0 1 0 1 0 0 ,0 
-1,1 0 0 1 1 1 0 1 1 ,0 
1 2 3 -6 -5,0 1 0 1 0 0 1 1 0 1 ,0 
-11 -10 -9 -8 -7 -6 13,1 1 0 1 0 0 1 1 0 1 ,0 
1 2 3,1 0 0 0 0 1 1 0 1 1 ,0 
1 2 -5,0 0 1 0 0 1 1 1 1 ,0 
9,1 0 1 0 0 1 1 1 1 ,0 
-11 -10 -13 -12 1 -8 -7 -6 -5 -4 -3 -2 9,0 1 0 0 0 1 1 0 1 1 ,0 
1 -8 -7 -2 9,1 1 0 0 0 1 1 0 1 1 ,0 
1 2 -13 -10 7 8 9 -6 -5 -4 11 12 -3,0 0 0 1 1 1 0 0 1 1 ,0 
1,1 0 0 1 1 1 0 0 1 1 ,0 
11 12 13,0 1 0 1 0 1 0 0 1 ,0 
1 2 3,0 0 1 1 0 0 0 1 1 1 ,0 
-13 -12 -11 6 3 4 1 2 7,1 0 0 0 1 1 0 1 1 1 ,0 
1,0 0 0 1 1 0 1 1 1 0 ,0 
11 12 13,0 0 0 1 1 1 0 0 1 0 ,0 
1 2 3 4 -7 10 11 12 13,1 0 0 1 1 1 0 0 1 0 ,0 
1 2 13,1 0 0 1 0 0 1 0 0 1 ,0 
3 -6 -1 -12 -11 -10 -5 -4 7 8 9 2 13,0 0 1 1 1 1 1 1 0 ,0 
1 -8 -7,1 0 1 1 1 1 1 1 0 ,0 
1 2 3 -8 -7 -6 -5 -4 9,0 0 0 1 0 0 0 1 1 1 ,0 
1 2 -11 -10 5 6 7 8 9 -4 -3 12 13,1 0 0 1 0 0 0 1 1 1 ,0 
1 4 11 12 -3 -2 13,0 0 0 0 0 0 1 0 1 0 ,0 
-7 -10 -9 -8 -1 4 5 6 11 12 13 2 3,1 0 0 0 0 0 1 0 1 0 ,0 
1 2 3 -6 -5 -4 -9 -8 -7,0 0 0 0 0 1 1 1 0 1 ,0 
1 2 13,1 0 0 0 0 1 1 1 0 1 ,0 
13,0 1 1 1 0 1 1 0 1 ,0 
1 2 -13 -12 -11 8 9 -4 -3,1 1 1 1 0 1 1 0 1 ,0 
11 12 13,0 1 1 0 1 0 1 0 1 1 ,0 
-3 -2 13,1 1 1 0 1 0 1 0 1 1 ,0 
13,0 0 0 0 0 0 1 1 0 ,0 
13,1 0 0 0 0 0 1 1 0 ,0 
11 12 13 -4 -3,1 0 1 0 1 1 1 1 0 1 ,0 
1,0 1 0 0 0 0 0 0 1 ,0 
1 2 9 10 -5 -4 7 8 3 -6 11 12 13,1 1 0 0 0 0 0 0 1 ,0 
5 6 7,1 1 1 0 0 1 1 1 1 0 ,0 
-3 4 5 6 -1,1 1 0 0 0 1 0 1 0 1 ,0 
13,1 1 1 0 0 0 1 0 1 1 ,0 
3 8 9 -6 -5 -4 -7 2 1,1 1 0 0 0 1 1 1 0 1 ,0 
